implementation,vertices,edges,time(ns),comparisons
a,289,664,136300,409
b,289,664,41600,410
a,290,383,136700,316
b,290,383,27500,316
a,291,841,138200,450
b,291,841,49500,452
a,292,445,134500,341
b,292,445,31400,341
a,293,572,136400,386
b,293,572,39100,387
a,294,854,142400,459
b,294,854,48800,458
a,295,499,135900,365
b,295,499,37500,366
a,296,516,137600,363
b,296,516,34900,364
a,297,388,131900,329
b,297,388,29500,329
a,298,507,137100,349
b,298,507,33600,349
a,299,387,135500,328
b,299,387,29200,327
a,300,634,158500,403
b,300,634,40200,403
a,301,378,134300,325
b,301,378,28000,325
a,302,372,137100,323
b,302,372,32200,323
a,303,595,143700,379
b,303,595,37700,379
a,304,606,142700,401
b,304,606,40700,400
a,305,759,158300,413
b,305,759,42700,414
a,306,855,159400,462
b,306,855,50800,459
a,307,809,151300,454
b,307,809,48200,456
a,308,443,143700,347
b,308,443,31600,347
a,309,636,150400,409
b,309,636,41200,409
a,310,770,154500,451
b,310,770,46900,451
a,311,602,152200,398
b,311,602,39100,398
a,312,575,184200,384
b,312,575,37400,383
a,313,830,156600,455
b,313,830,47100,455
a,314,804,157800,462
b,314,804,48200,461
a,315,426,150800,354
b,315,426,30600,354
a,316,731,157700,445
b,316,731,45400,445
a,317,399,148700,345
b,317,399,30700,345
a,318,376,149400,338
b,318,376,28300,337
a,319,840,164400,481
b,319,840,50000,481
a,320,697,170300,421
b,320,697,43200,421
a,321,611,159800,424
b,321,611,42100,425
a,322,740,172300,450
b,322,740,46900,447
a,323,561,156800,412
b,323,561,40500,411
a,324,764,163000,446
b,324,764,45800,446
a,325,329,155000,326
b,325,329,23100,326
a,326,919,170500,489
b,326,919,52400,485
a,327,532,161200,383
b,327,532,38200,383
a,328,449,157400,373
b,328,449,33000,374
a,329,700,165100,428
b,329,700,48000,429
a,330,475,162200,371
b,330,475,34600,368
a,331,872,173300,482
b,331,872,50000,480
a,332,848,171100,478
b,332,848,49800,477
a,333,562,166800,406
b,333,562,38100,405
a,334,545,164800,406
b,334,545,39200,404
a,335,579,169400,418
b,335,579,40300,417
a,336,603,180700,426
b,336,603,43100,426
a,337,696,171700,441
b,337,696,44300,444
a,338,601,174400,421
b,338,601,40900,420
a,339,703,177000,454
b,339,703,56200,455
a,340,444,170400,371
b,340,444,32200,371
a,341,597,174600,406
b,341,597,39600,406
a,342,366,167100,351
b,342,366,27200,351
a,343,967,185600,519
b,343,967,59200,518
a,344,826,196500,475
b,344,826,50500,478
a,345,584,174300,416
b,345,584,51800,416
a,346,667,181500,444
b,346,667,44100,444
a,347,910,184900,489
b,347,910,51500,489
a,348,917,192100,518
b,348,917,62400,518
a,349,1005,204500,554
b,349,1005,61800,552
a,350,573,193400,406
b,350,573,43800,407
a,351,988,192800,540
b,351,988,59100,538
a,352,456,178200,387
b,352,456,34500,387
a,353,853,239000,496
b,353,853,64500,498
a,354,969,193600,539
b,354,969,71600,536
a,355,721,190600,471
b,355,721,47700,473
a,356,897,218900,527
b,356,897,67400,525
a,357,906,218000,520
b,357,906,67300,521
a,358,556,198700,416
b,358,556,48800,417
a,359,1010,204500,554
b,359,1010,75400,556
a,360,480,189600,400
b,360,480,42100,400
a,361,475,188500,392
b,361,475,34800,392
a,362,378,186600,363
b,362,378,27500,363
a,363,776,201300,479
b,363,776,49600,480
a,364,406,188400,376
b,364,406,31100,376
a,365,420,191800,384
b,365,420,58600,385
a,366,823,254100,502
b,366,823,66700,503
a,367,1049,262200,587
b,367,1049,77700,586
a,368,638,251100,458
b,368,638,55600,457
a,369,700,201000,473
b,369,700,47000,473
a,370,820,260100,510
b,370,820,64800,510
a,371,485,247300,414
b,371,485,46000,415
a,372,1106,216600,595
b,372,1106,64600,594
a,373,426,207700,384
b,373,426,31900,384
a,374,667,205000,464
b,374,667,47300,465
a,375,743,208500,490
b,375,743,50600,490
a,376,408,200500,385
b,376,408,30900,385
a,377,421,201400,396
b,377,421,32000,396
a,378,856,217000,529
b,378,856,56000,530
a,379,935,219600,523
b,379,935,55900,527
a,380,457,208900,404
b,380,457,43600,404
a,381,1136,270300,610
b,381,1136,81600,605
a,382,1073,226500,573
b,382,1073,62100,573
a,383,794,217200,516
b,383,794,53500,516
a,384,993,225000,556
b,384,993,58900,553
a,385,606,214900,459
b,385,606,43700,460
a,386,947,227200,553
b,386,947,70700,553
a,387,477,213100,417
b,387,477,36900,416
a,388,546,213800,442
b,388,546,41700,441
a,389,983,229900,565
b,389,983,74300,564
a,390,673,233300,468
b,390,673,46900,467
a,391,646,219700,466
b,391,646,57600,467
a,392,461,218300,417
b,392,461,42800,417
a,393,488,225000,421
b,393,488,37900,421
a,394,843,229400,530
b,394,843,115200,530
a,395,980,244200,567
b,395,980,76500,566
a,396,1024,235700,585
b,396,1024,68500,585
a,397,663,288100,472
b,397,663,47600,472
a,398,742,228400,496
b,398,742,52900,496
a,399,803,236900,528
b,399,803,96300,530
a,400,639,233100,462
b,400,639,78500,460
a,401,927,242500,570
b,401,927,104300,568
a,402,1144,243600,611
b,402,1144,68800,616
a,403,720,237300,496
b,403,720,50900,496
a,404,528,233300,448
b,404,528,44600,448
a,405,542,232500,454
b,405,542,41400,454
a,406,787,241400,527
b,406,787,71600,529
a,407,560,237700,462
b,407,560,57700,462
a,408,975,302500,555
b,408,975,73200,558
a,409,507,236400,440
b,409,507,41100,439
a,410,761,243100,510
b,410,761,57500,512
a,411,1066,265400,602
b,411,1066,65500,601
a,412,584,303700,472
b,412,584,54400,472
a,413,742,289400,511
b,413,742,72800,513
a,414,663,247400,479
b,414,663,46900,479
a,415,863,271300,559
b,415,863,58800,560
a,416,654,249200,487
b,416,654,48700,488
a,417,474,256200,430
b,417,474,39300,430
a,418,581,255600,467
b,418,581,52400,465
a,419,1091,262200,624
b,419,1091,73000,625
a,420,981,264600,565
b,420,981,62200,567
a,421,1219,271700,643
b,421,1219,71400,640
a,422,1096,268400,622
b,422,1096,72400,622
a,423,704,259200,490
b,423,704,94900,490
